SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR23-00324203,Street Cleaning Request,SDP,Health,Streets and Sanitation,Completed,Phone Call,3/1/23 14:53,3/2/23 11:47,3/2/23 11:47,2448 N AUSTIN AVE,,,,2448,N,AUSTIN,AVE,FALSE,FALSE,,,19,30,,A016,1,25,2512,11,,14,4,3,1135898.217,1915843.779,41.925258,-87.7760775,"(41.92525800094061, -87.77607750000192)"
SR22-01809658,Inspect Public Way Request,PBD,Health,CDOT - Department of Transportation,Open,Phone Call,10/13/22 14:19,10/20/22 14:04,,6748 W WABANSIA AVE,,,60707,6748,W,WABANSIA,AVE,FALSE,FALSE,,,25,29,,Z118,1,25,2513,1,,14,5,10,1130957.44,1910572.673,41.9108801,-87.79435432,"(41.91088009535076, -87.79435431600601)"
SR23-00431219,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/21/23 8:29,3/21/23 8:53,,1058 W POLK ST,,,,1058,W,POLK,ST,FALSE,FALSE,,,28,34,,N024,3,12,1232,25,,8,3,3,1169391.234,1896647.068,41.87191777,-87.6535672,"(41.87191776474756, -87.65356719856572)"
SR23-00163225,Vacant/Abandoned Building Complaint,BBK,Health,DOB - Buildings,Completed,CSCC,2/1/23 7:15,3/22/23 9:03,3/22/23 9:03,6410 S STEWART AVE,,,60621,6410,S,STEWART,AVE,FALSE,FALSE,,,68,6,,O037,2,7,722,29,,7,4,2,1174724.844,1862496.066,41.77808683,-87.6350046,"(41.77808682862584, -87.6350045997797)"
SR23-00014907,Building Violation,BBA,Health,DOB - Buildings,Open,Phone Call,1/4/23 11:16,1/4/23 11:16,,3660 N LAKE SHORE DR,,,,3660,N,LAKE SHORE,DR,FALSE,FALSE,,,6,46,,O013,2,19,1925,39,,11,4,1,1171197.97,1925014.472,41.94972,-87.6460995,"(41.9497200009407, -87.6460995000019)"
SR23-00382406,Restaurant Complaint,HFB,Health,Health,Open,Internet,3/12/23 17:21,3/13/23 8:47,,6536 S KEDZIE AVE,,,,6536,S,KEDZIE,AVE,FALSE,FALSE,,,66,14,,H037,3,8,831,12,,17,1,3,1156164.105,1860953.082,41.77424611,-87.7030908,"(41.774246109495344, -87.70309079570048)"
SR23-00368397,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,3/9/23 14:07,3/10/23 9:06,3/10/23 9:06,1638 S DRAKE AVE,,,,1638,S,DRAKE,AVE,FALSE,FALSE,,,29,24,,H026,2,10,1021,2,,14,5,3,1152901.425,1891388.483,41.85783,-87.7142475,"(41.857830000940346, -87.7142475000019)"
SR23-00393085,Fly Dumping Complaint,SDR,Health,Streets and Sanitation,Completed,Alderman's Office,3/14/23 11:16,3/20/23 8:28,3/20/23 8:28,1653 S MILLER ST,,,,1653,S,MILLER,ST,FALSE,FALSE,,,31,25,,N026,3,12,1235,17,,11,3,3,1169877.246,1891700.713,41.858334,-87.651927,"(41.85833400094041, -87.6519270000019)"
SR23-00400994,Water On Street Complaint,AAE,Health,DWM - Department of Water Management,Completed,Phone Call,3/15/23 14:21,3/15/23 16:37,3/15/23 16:37,11600 S VINCENNES AVE,,,,11600,S,VINCENNES,AVE,FALSE,FALSE,,,75,19,,L050,1,22,2212,17,,14,4,3,1165780.06,1827927.116,41.683419,-87.668775,"(41.68341900093976, -87.6687750000019)"
SR23-00401347,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Open,Phone Call,3/15/23 15:01,3/15/23 15:01,,3741 W WINDSOR AVE,,,,3741,W,WINDSOR,AVE,FALSE,FALSE,,,14,33,,G011,2,17,1723,9,,15,4,3,1150458.391,1929891.885,41.963535,-87.722208,"(41.963535000940766, -87.72220800000191)"
